punto_index,x_original,y_original,x_robot,y_robot,theta1_rad,theta2_rad,theta1_deg,theta2_deg,alcanzable
88,9.11,2.55,24.11,2.55,-0.34,1.06,-19.55,60.76,true
89,9.13,2.59,24.13,2.59,-0.34,1.06,-19.38,60.55,true
90,9.15,2.63,24.15,2.63,-0.34,1.05,-19.22,60.36,true
91,9.16,2.66,24.16,2.66,-0.33,1.05,-19.06,60.17,true
92,9.18,2.7,24.18,2.7,-0.33,1.05,-18.91,59.98,true
93,9.2,2.74,24.2,2.74,-0.33,1.04,-18.76,59.81,true
94,9.22,2.77,24.22,2.77,-0.32,1.04,-18.61,59.64,true
95,9.23,2.81,24.23,2.81,-0.32,1.04,-18.46,59.47,true
96,9.25,2.84,24.25,2.84,-0.32,1.04,-18.32,59.32,true
97,9.26,2.88,24.26,2.88,-0.32,1.03,-18.18,59.17,true
98,9.27,2.92,24.27,2.92,-0.31,1.03,-18.04,59.03,true
99,9.28,2.95,24.28,2.95,-0.31,1.03,-17.9,58.89,true
100,9.29,2.99,24.29,2.99,-0.31,1.03,-17.77,58.77,true
101,9.3,3.02,24.3,3.02,-0.31,1.02,-17.65,58.65,true
102,9.31,3.06,24.31,3.06,-0.31,1.02,-17.52,58.54,true
103,9.32,3.09,24.32,3.09,-0.3,1.02,-17.4,58.43,true
104,9.33,3.13,24.33,3.13,-0.3,1.02,-17.28,58.34,true
105,9.33,3.16,24.33,3.16,-0.3,1.02,-17.17,58.25,true
106,9.34,3.2,24.34,3.2,-0.3,1.02,-17.06,58.17,true
107,9.34,3.23,24.34,3.23,-0.3,1.01,-16.95,58.1,true
108,9.34,3.26,24.34,3.26,-0.29,1.01,-16.85,58.04,true
109,9.35,3.3,24.35,3.3,-0.29,1.01,-16.75,57.99,true
110,9.35,3.33,24.35,3.33,-0.29,1.01,-16.66,57.94,true
111,9.35,3.36,24.35,3.36,-0.29,1.01,-16.56,57.9,true
112,9.35,3.4,24.35,3.4,-0.29,1.01,-16.47,57.87,true
113,9.34,3.43,24.34,3.43,-0.29,1.01,-16.39,57.85,true
114,9.34,3.46,24.34,3.46,-0.28,1.01,-16.31,57.83,true
115,9.34,3.49,24.34,3.49,-0.28,1.01,-16.23,57.83,true
116,9.33,3.53,24.33,3.53,-0.28,1.01,-16.16,57.83,true
117,9.33,3.56,24.33,3.56,-0.28,1.01,-16.09,57.84,true
118,9.32,3.59,24.32,3.59,-0.28,1.01,-16.02,57.85,true
119,9.31,3.62,24.31,3.62,-0.28,1.01,-15.95,57.88,true
120,9.3,3.65,24.3,3.65,-0.28,1.01,-15.89,57.91,true
121,9.3,3.68,24.3,3.68,-0.28,1.01,-15.84,57.95,true
122,9.29,3.71,24.29,3.71,-0.28,1.01,-15.78,57.99,true
123,9.27,3.74,24.27,3.74,-0.27,1.01,-15.73,58.05,true
124,9.26,3.77,24.26,3.77,-0.27,1.01,-15.69,58.11,true
125,9.25,3.8,24.25,3.8,-0.27,1.02,-15.64,58.17,true
126,9.24,3.83,24.24,3.83,-0.27,1.02,-15.6,58.25,true
127,9.22,3.85,24.22,3.85,-0.27,1.02,-15.57,58.33,true
128,9.21,3.88,24.21,3.88,-0.27,1.02,-15.53,58.42,true
129,9.19,3.91,24.19,3.91,-0.27,1.02,-15.5,58.51,true
130,9.18,3.94,24.18,3.94,-0.27,1.02,-15.47,58.61,true
131,9.16,3.96,24.16,3.96,-0.27,1.02,-15.45,58.71,true
132,9.14,3.99,24.14,3.99,-0.27,1.03,-15.42,58.83,true
133,9.12,4.02,24.12,4.02,-0.27,1.03,-15.4,58.94,true
134,9.11,4.04,24.11,4.04,-0.27,1.03,-15.38,59.06,true
135,9.09,4.07,24.09,4.07,-0.27,1.03,-15.37,59.19,true
136,9.07,4.09,24.07,4.09,-0.27,1.04,-15.36,59.32,true
137,9.05,4.12,24.05,4.12,-0.27,1.04,-15.35,59.46,true
138,9.02,4.14,24.02,4.14,-0.27,1.04,-15.34,59.6,true
139,9.0,4.17,24.0,4.17,-0.27,1.04,-15.33,59.75,true
140,8.98,4.19,23.98,4.19,-0.27,1.05,-15.33,59.9,true
141,8.96,4.21,23.96,4.21,-0.27,1.05,-15.33,60.05,true
142,8.93,4.24,23.93,4.24,-0.27,1.05,-15.33,60.21,true
143,8.91,4.26,23.91,4.26,-0.27,1.05,-15.33,60.37,true
144,8.89,4.28,23.89,4.28,-0.27,1.06,-15.33,60.53,true
145,8.86,4.31,23.86,4.31,-0.27,1.06,-15.34,60.7,true
146,8.84,4.33,23.84,4.33,-0.27,1.06,-15.34,60.87,true
147,8.81,4.35,23.81,4.35,-0.27,1.07,-15.35,61.04,true
148,8.79,4.37,23.79,4.37,-0.27,1.07,-15.36,61.21,true
149,8.76,4.39,23.76,4.39,-0.27,1.07,-15.37,61.39,true
150,8.73,4.42,23.73,4.42,-0.27,1.07,-15.38,61.57,true
151,8.71,4.44,23.71,4.44,-0.27,1.08,-15.39,61.75,true
152,8.68,4.46,23.68,4.46,-0.27,1.08,-15.41,61.93,true
153,8.65,4.48,23.65,4.48,-0.27,1.08,-15.42,62.12,true
154,8.63,4.5,23.63,4.5,-0.27,1.09,-15.43,62.3,true
155,8.6,4.52,23.6,4.52,-0.27,1.09,-15.45,62.49,true
156,8.57,4.54,23.57,4.54,-0.27,1.09,-15.47,62.67,true
157,8.55,4.56,23.55,4.56,-0.27,1.1,-15.48,62.86,true
158,8.52,4.58,23.52,4.58,-0.27,1.1,-15.5,63.05,true
159,8.49,4.6,23.49,4.6,-0.27,1.1,-15.52,63.23,true
160,8.46,4.62,23.46,4.62,-0.27,1.11,-15.53,63.42,true
161,8.43,4.64,23.43,4.64,-0.27,1.11,-15.55,63.61,true
162,8.41,4.66,23.41,4.66,-0.27,1.11,-15.57,63.8,true
163,8.38,4.68,23.38,4.68,-0.27,1.12,-15.58,63.98,true
164,8.35,4.69,23.35,4.69,-0.27,1.12,-15.6,64.17,true
165,8.32,4.71,23.32,4.71,-0.27,1.12,-15.62,64.35,true
166,8.3,4.73,23.3,4.73,-0.27,1.13,-15.63,64.54,true
167,8.27,4.75,23.27,4.75,-0.27,1.13,-15.65,64.72,true
168,8.24,4.77,23.24,4.77,-0.27,1.13,-15.66,64.9,true
169,8.21,4.79,23.21,4.79,-0.27,1.14,-15.68,65.08,true
170,8.19,4.81,23.19,4.81,-0.27,1.14,-15.69,65.26,true
171,8.16,4.83,23.16,4.83,-0.27,1.14,-15.7,65.43,true
172,8.13,4.84,23.13,4.84,-0.27,1.15,-15.72,65.61,true
173,8.11,4.86,23.11,4.86,-0.27,1.15,-15.73,65.78,true
174,8.08,4.88,23.08,4.88,-0.27,1.15,-15.74,65.95,true
175,8.05,4.9,23.05,4.9,-0.27,1.15,-15.75,66.12,true
176,8.03,4.92,23.03,4.92,-0.27,1.16,-15.76,66.29,true
177,8.0,4.94,23.0,4.94,-0.28,1.16,-15.76,66.45,true
178,7.98,4.96,22.98,4.96,-0.28,1.16,-15.77,66.61,true
179,7.95,4.98,22.95,4.98,-0.28,1.17,-15.77,66.77,true
180,7.93,4.99,22.93,4.99,-0.28,1.17,-15.78,66.92,true
181,7.9,5.01,22.9,5.01,-0.28,1.17,-15.78,67.07,true
182,7.88,5.03,22.88,5.03,-0.28,1.17,-15.78,67.22,true
183,7.85,5.05,22.85,5.05,-0.28,1.18,-15.78,67.37,true
184,7.83,5.07,22.83,5.07,-0.28,1.18,-15.77,67.51,true
185,7.81,5.09,22.81,5.09,-0.28,1.18,-15.77,67.65,true
186,7.78,5.11,22.78,5.11,-0.28,1.18,-15.77,67.79,true
187,7.76,5.13,22.76,5.13,-0.28,1.19,-15.76,67.92,true
188,7.74,5.15,22.74,5.15,-0.27,1.19,-15.75,68.05,true
189,7.72,5.17,22.72,5.17,-0.27,1.19,-15.74,68.18,true
190,7.69,5.19,22.69,5.19,-0.27,1.19,-15.73,68.3,true
191,7.67,5.21,22.67,5.21,-0.27,1.19,-15.71,68.42,true
192,7.65,5.24,22.65,5.24,-0.27,1.2,-15.69,68.54,true
193,7.63,5.26,22.63,5.26,-0.27,1.2,-15.68,68.65,true
194,7.61,5.28,22.61,5.28,-0.27,1.2,-15.66,68.76,true
195,7.59,5.3,22.59,5.3,-0.27,1.2,-15.63,68.86,true
196,7.57,5.32,22.57,5.32,-0.27,1.2,-15.61,68.96,true
197,7.55,5.34,22.55,5.34,-0.27,1.21,-15.59,69.06,true
198,7.54,5.37,22.54,5.37,-0.27,1.21,-15.56,69.16,true
199,7.52,5.39,22.52,5.39,-0.27,1.21,-15.53,69.25,true
200,7.5,5.41,22.5,5.41,-0.27,1.21,-15.5,69.33,true
201,7.48,5.44,22.48,5.44,-0.27,1.21,-15.46,69.42,true
202,7.47,5.46,22.47,5.46,-0.27,1.21,-15.43,69.5,true
203,7.45,5.48,22.45,5.48,-0.27,1.21,-15.39,69.57,true
204,7.43,5.51,22.43,5.51,-0.27,1.22,-15.35,69.65,true
205,7.42,5.53,22.42,5.53,-0.27,1.22,-15.31,69.71,true
206,7.4,5.56,22.4,5.56,-0.27,1.22,-15.27,69.78,true
207,7.39,5.58,22.39,5.58,-0.27,1.22,-15.22,69.84,true
208,7.37,5.61,22.37,5.61,-0.26,1.22,-15.18,69.9,true
209,7.36,5.63,22.36,5.63,-0.26,1.22,-15.13,69.96,true
210,7.34,5.66,22.34,5.66,-0.26,1.22,-15.08,70.01,true
211,7.33,5.69,22.33,5.69,-0.26,1.22,-15.03,70.06,true
212,7.32,5.71,22.32,5.71,-0.26,1.22,-14.97,70.11,true
213,7.3,5.74,22.3,5.74,-0.26,1.22,-14.92,70.15,true
214,7.29,5.77,22.29,5.77,-0.26,1.23,-14.86,70.19,true
215,7.28,5.79,22.28,5.79,-0.26,1.23,-14.8,70.23,true
216,7.27,5.82,22.27,5.82,-0.26,1.23,-14.74,70.26,true
217,7.25,5.85,22.25,5.85,-0.26,1.23,-14.68,70.29,true
218,7.24,5.88,22.24,5.88,-0.26,1.23,-14.61,70.32,true
219,7.23,5.91,22.23,5.91,-0.25,1.23,-14.55,70.35,true
220,7.22,5.94,22.22,5.94,-0.25,1.23,-14.48,70.37,true
221,7.21,5.96,22.21,5.96,-0.25,1.23,-14.41,70.39,true
222,7.2,5.99,22.2,5.99,-0.25,1.23,-14.34,70.41,true
223,7.19,6.02,22.19,6.02,-0.25,1.23,-14.27,70.43,true
224,7.18,6.05,22.18,6.05,-0.25,1.23,-14.2,70.44,true
225,7.17,6.08,22.17,6.08,-0.25,1.23,-14.12,70.46,true
226,7.16,6.11,22.16,6.11,-0.25,1.23,-14.05,70.47,true
227,7.15,6.14,22.15,6.14,-0.24,1.23,-13.97,70.48,true
228,7.14,6.18,22.14,6.18,-0.24,1.23,-13.89,70.48,true
229,7.13,6.21,22.13,6.21,-0.24,1.23,-13.81,70.49,true
230,7.12,6.24,22.12,6.24,-0.24,1.23,-13.74,70.5,true
231,7.11,6.27,22.11,6.27,-0.24,1.23,-13.66,70.5,true
232,7.1,6.3,22.1,6.3,-0.24,1.23,-13.58,70.5,true
233,7.09,6.33,22.09,6.33,-0.24,1.23,-13.49,70.51,true
234,7.08,6.36,22.08,6.36,-0.23,1.23,-13.41,70.51,true
235,7.07,6.4,22.07,6.4,-0.23,1.23,-13.33,70.51,true
236,7.06,6.43,22.06,6.43,-0.23,1.23,-13.25,70.51,true
237,7.05,6.46,22.05,6.46,-0.23,1.23,-13.16,70.51,true
238,7.05,6.49,22.05,6.49,-0.23,1.23,-13.08,70.51,true
239,7.04,6.52,22.04,6.52,-0.23,1.23,-12.99,70.51,true
240,7.03,6.56,22.03,6.56,-0.23,1.23,-12.91,70.51,true
241,7.02,6.59,22.02,6.59,-0.22,1.23,-12.83,70.51,true
242,7.01,6.62,22.01,6.62,-0.22,1.23,-12.74,70.51,true
243,7.0,6.65,22.0,6.65,-0.22,1.23,-12.66,70.51,true
244,6.99,6.69,21.99,6.69,-0.22,1.23,-12.57,70.51,true
245,6.98,6.72,21.98,6.72,-0.22,1.23,-12.49,70.51,true
246,6.97,6.75,21.97,6.75,-0.22,1.23,-12.41,70.52,true
247,6.96,6.78,21.96,6.78,-0.22,1.23,-12.33,70.52,true
248,6.94,6.82,21.94,6.82,-0.21,1.23,-12.24,70.53,true
249,6.93,6.85,21.93,6.85,-0.21,1.23,-12.16,70.53,true
250,6.92,6.88,21.92,6.88,-0.21,1.23,-12.08,70.54,true
251,6.91,6.91,21.91,6.91,-0.21,1.23,-12.0,70.55,true
252,6.9,6.94,21.9,6.94,-0.21,1.23,-11.92,70.57,true
253,6.89,6.97,21.89,6.97,-0.21,1.23,-11.84,70.58,true
254,6.87,7.0,21.87,7.0,-0.21,1.23,-11.77,70.6,true
255,6.86,7.04,21.86,7.04,-0.2,1.23,-11.69,70.62,true
256,6.85,7.07,21.85,7.07,-0.2,1.23,-11.62,70.64,true
257,6.83,7.1,21.83,7.1,-0.2,1.23,-11.54,70.67,true
258,6.82,7.13,21.82,7.13,-0.2,1.23,-11.47,70.7,true
259,6.81,7.16,21.81,7.16,-0.2,1.23,-11.4,70.73,true
260,6.79,7.19,21.79,7.19,-0.2,1.24,-11.33,70.76,true
261,6.78,7.22,21.78,7.22,-0.2,1.24,-11.27,70.8,true
262,6.76,7.25,21.76,7.25,-0.2,1.24,-11.2,70.84,true
263,6.75,7.27,21.75,7.27,-0.19,1.24,-11.14,70.88,true
264,6.73,7.3,21.73,7.3,-0.19,1.24,-11.08,70.93,true
265,6.71,7.33,21.71,7.33,-0.19,1.24,-11.02,70.98,true
266,6.69,7.36,21.69,7.36,-0.19,1.24,-10.96,71.04,true
267,6.68,7.38,21.68,7.38,-0.19,1.24,-10.91,71.1,true
268,6.66,7.41,21.66,7.41,-0.19,1.24,-10.86,71.16,true
269,6.64,7.44,21.64,7.44,-0.19,1.24,-10.81,71.23,true
270,6.62,7.46,21.62,7.46,-0.19,1.24,-10.76,71.3,true
271,6.6,7.49,21.6,7.49,-0.19,1.25,-10.71,71.38,true
272,6.58,7.51,21.58,7.51,-0.19,1.25,-10.67,71.46,true
273,6.56,7.53,21.56,7.53,-0.19,1.25,-10.63,71.54,true
274,6.54,7.56,21.54,7.56,-0.18,1.25,-10.59,71.63,true
275,6.52,7.58,21.52,7.58,-0.18,1.25,-10.56,71.73,true
276,6.49,7.6,21.49,7.6,-0.18,1.25,-10.53,71.83,true
277,6.47,7.62,21.47,7.62,-0.18,1.26,-10.5,71.93,true
278,6.45,7.64,21.45,7.64,-0.18,1.26,-10.47,72.04,true
279,6.42,7.66,21.42,7.66,-0.18,1.26,-10.45,72.16,true
280,6.4,7.68,21.4,7.68,-0.18,1.26,-10.43,72.28,true
281,6.37,7.7,21.37,7.7,-0.18,1.26,-10.41,72.4,true
282,6.35,7.72,21.35,7.72,-0.18,1.27,-10.4,72.53,true
283,6.32,7.74,21.32,7.74,-0.18,1.27,-10.39,72.66,true
284,6.29,7.75,21.29,7.75,-0.18,1.27,-10.38,72.8,true
285,6.27,7.77,21.27,7.77,-0.18,1.27,-10.37,72.95,true
286,6.24,7.79,21.24,7.79,-0.18,1.28,-10.37,73.1,true
287,6.21,7.8,21.21,7.8,-0.18,1.28,-10.37,73.25,true
288,6.18,7.81,21.18,7.81,-0.18,1.28,-10.38,73.41,true
289,6.15,7.83,21.15,7.83,-0.18,1.28,-10.39,73.58,true
290,6.12,7.84,21.12,7.84,-0.18,1.29,-10.4,73.75,true
291,6.09,7.85,21.09,7.85,-0.18,1.29,-10.41,73.93,true
292,6.06,7.86,21.06,7.86,-0.18,1.29,-10.43,74.11,true
293,6.02,7.87,21.02,7.87,-0.18,1.3,-10.45,74.29,true
294,5.99,7.88,20.99,7.88,-0.18,1.3,-10.48,74.48,true
295,5.96,7.89,20.96,7.89,-0.18,1.3,-10.5,74.68,true
296,5.93,7.89,20.93,7.89,-0.18,1.31,-10.53,74.88,true
297,5.89,7.9,20.89,7.9,-0.18,1.31,-10.57,75.09,true
298,5.86,7.9,20.86,7.9,-0.19,1.31,-10.61,75.3,true
299,5.82,7.91,20.82,7.91,-0.19,1.32,-10.65,75.51,true
300,5.79,7.91,20.79,7.91,-0.19,1.32,-10.69,75.73,true
301,5.75,7.91,20.75,7.91,-0.19,1.33,-10.74,75.96,true
302,5.71,7.92,20.71,7.92,-0.19,1.33,-10.79,76.18,true
303,5.68,7.92,20.68,7.92,-0.19,1.33,-10.84,76.42,true
304,5.64,7.92,20.64,7.92,-0.19,1.34,-10.9,76.66,true
305,5.6,7.92,20.6,7.92,-0.19,1.34,-10.96,76.9,true
306,5.56,7.91,20.56,7.91,-0.19,1.35,-11.02,77.14,true
307,5.52,7.91,20.52,7.91,-0.19,1.35,-11.09,77.39,true
308,5.48,7.91,20.48,7.91,-0.19,1.36,-11.16,77.65,true
309,5.44,7.9,20.44,7.9,-0.2,1.36,-11.23,77.9,true
310,5.4,7.9,20.4,7.9,-0.2,1.36,-11.3,78.17,true
311,5.36,7.89,20.36,7.89,-0.2,1.37,-11.38,78.43,true
312,5.32,7.89,20.32,7.89,-0.2,1.37,-11.46,78.7,true
313,5.28,7.88,20.28,7.88,-0.2,1.38,-11.54,78.97,true
314,5.24,7.87,20.24,7.87,-0.2,1.38,-11.63,79.24,true
315,5.2,7.86,20.2,7.86,-0.2,1.39,-11.72,79.52,true
316,5.16,7.85,20.16,7.85,-0.21,1.39,-11.81,79.8,true
317,5.12,7.84,20.12,7.84,-0.21,1.4,-11.9,80.08,true
318,5.07,7.83,20.07,7.83,-0.21,1.4,-12.0,80.37,true
319,5.03,7.82,20.03,7.82,-0.21,1.41,-12.09,80.66,true
320,4.99,7.8,19.99,7.8,-0.21,1.41,-12.19,80.95,true
321,4.94,7.79,19.94,7.79,-0.21,1.42,-12.3,81.24,true
322,4.9,7.78,19.9,7.78,-0.22,1.42,-12.4,81.53,true
323,4.86,7.76,19.86,7.76,-0.22,1.43,-12.51,81.83,true
324,4.81,7.75,19.81,7.75,-0.22,1.43,-12.62,82.13,true
325,4.77,7.73,19.77,7.73,-0.22,1.44,-12.73,82.43,true
326,4.73,7.71,19.73,7.71,-0.22,1.44,-12.84,82.73,true
327,4.68,7.69,19.68,7.69,-0.23,1.45,-12.96,83.03,true
328,4.64,7.68,19.64,7.68,-0.23,1.45,-13.07,83.33,true
329,4.59,7.66,19.59,7.66,-0.23,1.46,-13.19,83.64,true
330,4.55,7.64,19.55,7.64,-0.23,1.47,-13.31,83.94,true
331,4.51,7.62,19.51,7.62,-0.23,1.47,-13.43,84.25,true
332,4.46,7.6,19.46,7.6,-0.24,1.48,-13.55,84.55,true
333,4.42,7.58,19.42,7.58,-0.24,1.48,-13.67,84.86,true
334,4.37,7.55,19.37,7.55,-0.24,1.49,-13.8,85.17,true
335,4.33,7.53,19.33,7.53,-0.24,1.49,-13.92,85.47,true
336,4.28,7.51,19.28,7.51,-0.25,1.5,-14.05,85.78,true
337,4.24,7.49,19.24,7.49,-0.25,1.5,-14.18,86.08,true
338,4.2,7.46,19.2,7.46,-0.25,1.51,-14.31,86.39,true
339,4.15,7.44,19.15,7.44,-0.25,1.51,-14.44,86.69,true
340,4.11,7.42,19.11,7.42,-0.25,1.52,-14.57,87.0,true
341,4.06,7.39,19.06,7.39,-0.26,1.52,-14.7,87.3,true
342,4.02,7.37,19.02,7.37,-0.26,1.53,-14.83,87.6,true
343,3.98,7.34,18.98,7.34,-0.26,1.53,-14.96,87.9,true
344,3.93,7.32,18.93,7.32,-0.26,1.54,-15.09,88.2,true
345,3.89,7.29,18.89,7.29,-0.27,1.54,-15.22,88.5,true
346,3.85,7.27,18.85,7.27,-0.27,1.55,-15.35,88.8,true
347,3.81,7.24,18.81,7.24,-0.27,1.55,-15.48,89.09,true
348,3.76,7.22,18.76,7.22,-0.27,1.56,-15.61,89.38,true
349,3.72,7.19,18.72,7.19,-0.27,1.57,-15.74,89.67,true
350,3.68,7.16,18.68,7.16,-0.28,1.57,-15.87,89.96,true
351,3.64,7.14,18.64,7.14,-0.28,1.58,-16.0,90.25,true
352,3.6,7.11,18.6,7.11,-0.28,1.58,-16.13,90.53,true
353,3.56,7.09,18.56,7.09,-0.28,1.59,-16.26,90.81,true
354,3.51,7.06,18.51,7.06,-0.29,1.59,-16.38,91.09,true
355,3.47,7.04,18.47,7.04,-0.29,1.59,-16.51,91.37,true
356,3.43,7.01,18.43,7.01,-0.29,1.6,-16.64,91.64,true
357,3.4,6.99,18.4,6.99,-0.29,1.6,-16.76,91.91,true
358,3.36,6.96,18.36,6.96,-0.29,1.61,-16.88,92.18,true
359,3.32,6.94,18.32,6.94,-0.3,1.61,-17.0,92.45,true
360,3.28,6.91,18.28,6.91,-0.3,1.62,-17.12,92.71,true
361,3.24,6.89,18.24,6.89,-0.3,1.62,-17.24,92.96,true
362,3.2,6.86,18.2,6.86,-0.3,1.63,-17.36,93.22,true
363,3.17,6.84,18.17,6.84,-0.3,1.63,-17.48,93.47,true
364,3.13,6.82,18.13,6.82,-0.31,1.64,-17.59,93.72,true
365,3.09,6.79,18.09,6.79,-0.31,1.64,-17.7,93.96,true
